,Generation,Best Solution,CrossOver,Mutation,Iteration
0,20000,26697,OX,RM,29
2,1000,24542,OX,RM,30
1,10000,23267,OX,RM,30
0,20000,23014,OX,RM,30
2,1000,25740,OX,RM,31
1,10000,25542,OX,RM,31
0,20000,25542,OX,RM,31
2,1000,27903,OX,RM,32
1,10000,26655,OX,RM,32
0,20000,26358,OX,RM,32
2,1000,28526,OX,RM,33
1,10000,26482,OX,RM,33
0,20000,26259,OX,RM,33
2,1000,33054,OX,RM,34
1,10000,31308,OX,RM,34
0,20000,30053,OX,RM,34
2,1000,31736,OX,RM,35
1,10000,29910,OX,RM,35
0,20000,29651,OX,RM,35
2,1000,35329,OX,RM,36
1,10000,30705,OX,RM,36
0,20000,28425,OX,RM,36
2,1000,34917,OX,RM,37
1,10000,29928,OX,RM,37
0,20000,27694,OX,RM,37
2,1000,31223,OX,RM,38
1,10000,30365,OX,RM,38
0,20000,29832,OX,RM,38
2,1000,26516,OX,RM,39
1,10000,26122,OX,RM,39
0,20000,25403,OX,RM,39
2,1000,34745,OX,RM,40
1,10000,34026,OX,RM,40
0,20000,33716,OX,RM,40
2,1000,27632,OX,RM,41
1,10000,26778,OX,RM,41
0,20000,26197,OX,RM,41
2,1000,27120,OX,RM,42
1,10000,26474,OX,RM,42
0,20000,25755,OX,RM,42
2,1000,31393,OX,RM,43
1,10000,27897,OX,RM,43
0,20000,27371,OX,RM,43
2,1000,27234,OX,RM,44
1,10000,25369,OX,RM,44
0,20000,25268,OX,RM,44
2,1000,25420,OX,RM,45
1,10000,25368,OX,RM,45
0,20000,25219,OX,RM,45
2,1000,32680,OX,RM,46
1,10000,31966,OX,RM,46
0,20000,30575,OX,RM,46
2,1000,26259,OX,RM,47
1,10000,26104,OX,RM,47
0,20000,25742,OX,RM,47
2,1000,34323,OX,RM,48
1,10000,32780,OX,RM,48
0,20000,32351,OX,RM,48
2,1000,58652,OX,RM,49
1,10000,40733,OX,RM,49
0,20000,37907,OX,RM,49
2,1000,26812,OX,RM,50
1,10000,26226,OX,RM,50
0,20000,25384,OX,RM,50
2,1000,26917,OX,RM,51
1,10000,26200,OX,RM,51
0,20000,25351,OX,RM,51
2,1000,28990,OX,RM,52
1,10000,26381,OX,RM,52
0,20000,25982,OX,RM,52
2,1000,28469,OX,RM,53
1,10000,28061,OX,RM,53
0,20000,27214,OX,RM,53
2,1000,29849,OX,RM,54
1,10000,29299,OX,RM,54
0,20000,27842,OX,RM,54
2,1000,28921,OX,RM,55
1,10000,27368,OX,RM,55
0,20000,27195,OX,RM,55
2,1000,33185,OX,RM,56
1,10000,30364,OX,RM,56
0,20000,27972,OX,RM,56
2,1000,27140,OX,RM,57
1,10000,26410,OX,RM,57
0,20000,26216,OX,RM,57
2,1000,26322,OX,RM,58
1,10000,25553,OX,RM,58
0,20000,25380,OX,RM,58
2,1000,27869,OX,RM,59
1,10000,26884,OX,RM,59
0,20000,26172,OX,RM,59
2,1000,26864,OX,RM,60
1,10000,26612,OX,RM,60
0,20000,26329,OX,RM,60
2,1000,29466,OX,RM,61
1,10000,29432,OX,RM,61
0,20000,26738,OX,RM,61
2,1000,36737,OX,RM,62
1,10000,34860,OX,RM,62
0,20000,33202,OX,RM,62
2,1000,37867,OX,RM,63
1,10000,34613,OX,RM,63
0,20000,32051,OX,RM,63
2,1000,27331,OX,RM,64
1,10000,26569,OX,RM,64
0,20000,26180,OX,RM,64
2,1000,49727,OX,RM,65
1,10000,38593,OX,RM,65
0,20000,36039,OX,RM,65
2,1000,27680,OX,RM,66
1,10000,27165,OX,RM,66
0,20000,26587,OX,RM,66
2,1000,28541,OX,RM,67
1,10000,27367,OX,RM,67
0,20000,26628,OX,RM,67
2,1000,29247,OX,RM,68
1,10000,27786,OX,RM,68
0,20000,27221,OX,RM,68
2,1000,32505,OX,RM,69
1,10000,30895,OX,RM,69
0,20000,29476,OX,RM,69
2,1000,28941,OX,RM,70
1,10000,27856,OX,RM,70
0,20000,27610,OX,RM,70
2,1000,28833,OX,RM,71
1,10000,27988,OX,RM,71
0,20000,27736,OX,RM,71
2,1000,26259,OX,RM,72
1,10000,24342,OX,RM,72
0,20000,24100,OX,RM,72
2,1000,26220,OX,RM,73
1,10000,25975,OX,RM,73
0,20000,25831,OX,RM,73
2,1000,27536,OX,RM,74
1,10000,27312,OX,RM,74
0,20000,24553,OX,RM,74
2,1000,26233,OX,RM,75
1,10000,26004,OX,RM,75
0,20000,25943,OX,RM,75
2,1000,34397,OX,RM,76
1,10000,32534,OX,RM,76
0,20000,29544,OX,RM,76
2,1000,28349,OX,RM,77
1,10000,24800,OX,RM,77
0,20000,24800,OX,RM,77
2,1000,25904,OX,RM,78
1,10000,25253,OX,RM,78
0,20000,25082,OX,RM,78
2,1000,29940,OX,RM,79
1,10000,27146,OX,RM,79
0,20000,26452,OX,RM,79
2,1000,32886,OX,RM,80
1,10000,30815,OX,RM,80
0,20000,28218,OX,RM,80
2,1000,30391,OX,RM,81
1,10000,29027,OX,RM,81
0,20000,28368,OX,RM,81
2,1000,31161,OX,RM,82
1,10000,30209,OX,RM,82
0,20000,29244,OX,RM,82
2,1000,35143,OX,RM,83
1,10000,34097,OX,RM,83
0,20000,32615,OX,RM,83
2,1000,32070,OX,RM,84
1,10000,26944,OX,RM,84
0,20000,26507,OX,RM,84
2,1000,27587,OX,RM,85
1,10000,27388,OX,RM,85
0,20000,26990,OX,RM,85
2,1000,25525,OX,RM,86
1,10000,25324,OX,RM,86
0,20000,25031,OX,RM,86
2,1000,26646,OX,RM,87
1,10000,25693,OX,RM,87
0,20000,25066,OX,RM,87
2,1000,26601,OX,RM,88
1,10000,26113,OX,RM,88
0,20000,25589,OX,RM,88
2,1000,42307,OX,RM,89
1,10000,38488,OX,RM,89
0,20000,36456,OX,RM,89
2,1000,34748,OX,RM,90
1,10000,31744,OX,RM,90
0,20000,29147,OX,RM,90
2,1000,28400,OX,RM,91
1,10000,27296,OX,RM,91
0,20000,27013,OX,RM,91
2,1000,46174,OX,RM,92
1,10000,42030,OX,RM,92
0,20000,39390,OX,RM,92
2,1000,33494,OX,RM,93
1,10000,30938,OX,RM,93
0,20000,30320,OX,RM,93
2,1000,26379,OX,RM,94
1,10000,26379,OX,RM,94
0,20000,25264,OX,RM,94
2,1000,27900,OX,RM,95
1,10000,27214,OX,RM,95
0,20000,26795,OX,RM,95
2,1000,27279,OX,RM,96
1,10000,26914,OX,RM,96
0,20000,26555,OX,RM,96
2,1000,30524,OX,RM,97
1,10000,29110,OX,RM,97
0,20000,28401,OX,RM,97
2,1000,28330,OX,RM,98
1,10000,26541,OX,RM,98
0,20000,26184,OX,RM,98
2,1000,31416,OX,RM,99
1,10000,28115,OX,RM,99
0,20000,27261,OX,RM,99
