,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,28178,OX,RM,0
1,10000,27339,OX,RM,0
0,20000,27218,OX,RM,0
2,1000,26792,OX,RM,1
1,10000,26186,OX,RM,1
0,20000,25994,OX,RM,1
2,1000,34195,OX,RM,2
1,10000,28248,OX,RM,2
0,20000,27935,OX,RM,2
2,1000,29879,OX,RM,3
1,10000,29078,OX,RM,3
0,20000,27960,OX,RM,3
2,1000,27446,OX,RM,4
1,10000,27055,OX,RM,4
0,20000,26731,OX,RM,4
2,1000,28264,OX,RM,5
1,10000,28183,OX,RM,5
0,20000,25439,OX,RM,5
2,1000,28001,OX,RM,6
1,10000,27982,OX,RM,6
0,20000,27671,OX,RM,6
2,1000,31427,OX,RM,7
1,10000,26720,OX,RM,7
0,20000,26087,OX,RM,7
2,1000,29130,OX,RM,8
1,10000,27827,OX,RM,8
0,20000,27342,OX,RM,8
2,1000,27955,OX,RM,9
1,10000,27409,OX,RM,9
0,20000,27158,OX,RM,9
2,1000,27123,OX,RM,10
1,10000,26432,OX,RM,10
0,20000,24954,OX,RM,10
2,1000,27604,OX,RM,11
1,10000,26380,OX,RM,11
0,20000,26156,OX,RM,11
2,1000,26703,OX,RM,12
1,10000,25191,OX,RM,12
0,20000,24745,OX,RM,12
2,1000,29615,OX,RM,13
1,10000,29033,OX,RM,13
0,20000,27985,OX,RM,13
2,1000,26445,OX,RM,14
1,10000,25845,OX,RM,14
0,20000,24859,OX,RM,14
2,1000,25878,OX,RM,15
1,10000,25578,OX,RM,15
0,20000,25093,OX,RM,15
2,1000,35944,OX,RM,16
1,10000,33459,OX,RM,16
0,20000,30475,OX,RM,16
2,1000,36499,OX,RM,17
1,10000,34218,OX,RM,17
0,20000,32413,OX,RM,17
2,1000,27221,OX,RM,18
1,10000,26468,OX,RM,18
0,20000,24778,OX,RM,18
2,1000,30250,OX,RM,19
1,10000,27528,OX,RM,19
0,20000,27186,OX,RM,19
2,1000,30842,OX,RM,20
1,10000,30507,OX,RM,20
0,20000,29028,OX,RM,20
2,1000,26955,OX,RM,21
1,10000,26667,OX,RM,21
0,20000,25194,OX,RM,21
2,1000,25847,OX,RM,22
1,10000,24973,OX,RM,22
0,20000,24358,OX,RM,22
2,1000,28290,OX,RM,23
1,10000,27165,OX,RM,23
0,20000,25486,OX,RM,23
2,1000,34033,OX,RM,24
1,10000,32555,OX,RM,24
0,20000,30353,OX,RM,24
2,1000,26709,OX,RM,25
1,10000,25030,OX,RM,25
0,20000,24670,OX,RM,25
2,1000,36324,OX,RM,26
1,10000,32624,OX,RM,26
0,20000,31046,OX,RM,26
2,1000,26259,OX,RM,27
1,10000,24578,OX,RM,27
0,20000,24005,OX,RM,27
2,1000,38970,OX,RM,28
1,10000,34463,OX,RM,28
0,20000,30861,OX,RM,28
2,1000,29499,OX,RM,29
1,10000,28099,OX,RM,29
