,Generation,Best Solution,CrossOver,Mutation,Iteration
0,20000,25234,OX,RM,57
2,1000,29620,OX,RM,58
1,10000,28305,OX,RM,58
0,20000,26703,OX,RM,58
2,1000,24731,OX,RM,59
1,10000,24731,OX,RM,59
0,20000,24596,OX,RM,59
2,1000,26206,OX,RM,60
1,10000,25823,OX,RM,60
0,20000,24970,OX,RM,60
2,1000,26054,OX,RM,61
1,10000,25257,OX,RM,61
0,20000,24909,OX,RM,61
2,1000,28346,OX,RM,62
1,10000,26238,OX,RM,62
0,20000,25892,OX,RM,62
2,1000,26042,OX,RM,63
1,10000,24410,OX,RM,63
0,20000,23046,OX,RM,63
2,1000,32185,OX,RM,64
1,10000,29053,OX,RM,64
0,20000,28409,OX,RM,64
2,1000,25943,OX,RM,65
1,10000,25342,OX,RM,65
0,20000,24943,OX,RM,65
2,1000,37404,OX,RM,66
1,10000,32850,OX,RM,66
0,20000,31561,OX,RM,66
2,1000,32132,OX,RM,67
1,10000,31460,OX,RM,67
0,20000,29565,OX,RM,67
2,1000,29951,OX,RM,68
1,10000,28348,OX,RM,68
0,20000,27755,OX,RM,68
2,1000,28607,OX,RM,69
1,10000,27104,OX,RM,69
0,20000,25897,OX,RM,69
2,1000,28815,OX,RM,70
1,10000,25972,OX,RM,70
0,20000,25754,OX,RM,70
2,1000,26743,OX,RM,71
1,10000,26120,OX,RM,71
0,20000,25857,OX,RM,71
2,1000,26134,OX,RM,72
1,10000,25924,OX,RM,72
0,20000,25030,OX,RM,72
2,1000,26143,OX,RM,73
1,10000,25835,OX,RM,73
0,20000,24915,OX,RM,73
2,1000,25335,OX,RM,74
1,10000,25099,OX,RM,74
0,20000,24799,OX,RM,74
2,1000,25986,OX,RM,75
1,10000,24928,OX,RM,75
0,20000,24620,OX,RM,75
2,1000,26478,OX,RM,76
1,10000,25611,OX,RM,76
0,20000,25238,OX,RM,76
2,1000,27700,OX,RM,77
1,10000,26455,OX,RM,77
0,20000,25971,OX,RM,77
2,1000,25420,OX,RM,78
1,10000,24324,OX,RM,78
0,20000,24118,OX,RM,78
2,1000,28478,OX,RM,79
1,10000,26459,OX,RM,79
0,20000,26296,OX,RM,79
2,1000,28423,OX,RM,80
1,10000,25838,OX,RM,80
0,20000,24922,OX,RM,80
2,1000,25313,OX,RM,81
1,10000,24774,OX,RM,81
0,20000,24354,OX,RM,81
2,1000,25681,OX,RM,82
1,10000,24972,OX,RM,82
0,20000,24881,OX,RM,82
2,1000,30851,OX,RM,83
1,10000,28100,OX,RM,83
0,20000,27436,OX,RM,83
2,1000,26133,OX,RM,84
1,10000,25585,OX,RM,84
0,20000,25447,OX,RM,84
2,1000,31375,OX,RM,85
1,10000,29278,OX,RM,85
0,20000,28833,OX,RM,85
2,1000,25735,OX,RM,86
1,10000,25563,OX,RM,86
0,20000,24607,OX,RM,86
2,1000,29824,OX,RM,87
1,10000,29500,OX,RM,87
0,20000,29216,OX,RM,87
2,1000,27924,OX,RM,88
1,10000,26556,OX,RM,88
0,20000,26450,OX,RM,88
2,1000,35750,OX,RM,89
1,10000,33282,OX,RM,89
0,20000,31706,OX,RM,89
2,1000,26545,OX,RM,90
1,10000,26135,OX,RM,90
0,20000,25331,OX,RM,90
2,1000,25172,OX,RM,91
1,10000,24330,OX,RM,91
0,20000,23718,OX,RM,91
2,1000,25943,OX,RM,92
1,10000,25372,OX,RM,92
0,20000,24807,OX,RM,92
2,1000,26728,OX,RM,93
1,10000,25394,OX,RM,93
0,20000,25238,OX,RM,93
2,1000,47054,OX,RM,94
1,10000,36280,OX,RM,94
0,20000,33947,OX,RM,94
2,1000,31681,OX,RM,95
1,10000,30321,OX,RM,95
0,20000,30038,OX,RM,95
2,1000,26013,OX,RM,96
1,10000,24275,OX,RM,96
0,20000,24161,OX,RM,96
2,1000,26792,OX,RM,97
1,10000,26390,OX,RM,97
0,20000,25019,OX,RM,97
2,1000,30857,OX,RM,98
1,10000,30846,OX,RM,98
0,20000,30311,OX,RM,98
2,1000,25319,OX,RM,99
1,10000,24543,OX,RM,99
0,20000,24166,OX,RM,99
