,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,107817,OX,RM,53
1,10000,54278,OX,RM,53
0,20000,46813,OX,RM,53
2,1000,97410,OX,RM,54
1,10000,59035,OX,RM,54
0,20000,47183,OX,RM,54
2,1000,104450,OX,RM,55
1,10000,62143,OX,RM,55
0,20000,50866,OX,RM,55
2,1000,98040,OX,RM,56
1,10000,58341,OX,RM,56
0,20000,49453,OX,RM,56
2,1000,98278,OX,RM,57
1,10000,52996,OX,RM,57
0,20000,44578,OX,RM,57
2,1000,105018,OX,RM,58
1,10000,56193,OX,RM,58
0,20000,48969,OX,RM,58
2,1000,103834,OX,RM,59
1,10000,56398,OX,RM,59
0,20000,49023,OX,RM,59
2,1000,97701,OX,RM,60
1,10000,60545,OX,RM,60
0,20000,48187,OX,RM,60
2,1000,96885,OX,RM,61
1,10000,55455,OX,RM,61
0,20000,45339,OX,RM,61
2,1000,95552,OX,RM,62
1,10000,54220,OX,RM,62
0,20000,46253,OX,RM,62
2,1000,94371,OX,RM,63
1,10000,55674,OX,RM,63
0,20000,46795,OX,RM,63
2,1000,88126,OX,RM,64
1,10000,55120,OX,RM,64
0,20000,44197,OX,RM,64
2,1000,98570,OX,RM,65
1,10000,56860,OX,RM,65
0,20000,49354,OX,RM,65
2,1000,95044,OX,RM,66
1,10000,57808,OX,RM,66
0,20000,46705,OX,RM,66
2,1000,103772,OX,RM,67
1,10000,60246,OX,RM,67
0,20000,50987,OX,RM,67
2,1000,106986,OX,RM,68
1,10000,61043,OX,RM,68
0,20000,51932,OX,RM,68
2,1000,93816,OX,RM,69
1,10000,50733,OX,RM,69
0,20000,46473,OX,RM,69
2,1000,111731,OX,RM,70
1,10000,63079,OX,RM,70
0,20000,52192,OX,RM,70
2,1000,104680,OX,RM,71
1,10000,61643,OX,RM,71
0,20000,54083,OX,RM,71
2,1000,101296,OX,RM,72
1,10000,59561,OX,RM,72
0,20000,51061,OX,RM,72
2,1000,97049,OX,RM,73
1,10000,55989,OX,RM,73
0,20000,49188,OX,RM,73
2,1000,99202,OX,RM,74
1,10000,58994,OX,RM,74
0,20000,53040,OX,RM,74
2,1000,109861,OX,RM,75
1,10000,65039,OX,RM,75
0,20000,50267,OX,RM,75
2,1000,98671,OX,RM,76
1,10000,59032,OX,RM,76
0,20000,51794,OX,RM,76
2,1000,103050,OX,RM,77
1,10000,58563,OX,RM,77
0,20000,45068,OX,RM,77
2,1000,100659,OX,RM,78
1,10000,55435,OX,RM,78
0,20000,44715,OX,RM,78
2,1000,108566,OX,RM,79
1,10000,58712,OX,RM,79
0,20000,47941,OX,RM,79
2,1000,99994,OX,RM,80
1,10000,57457,OX,RM,80
0,20000,50525,OX,RM,80
2,1000,103329,OX,RM,81
1,10000,55547,OX,RM,81
0,20000,44625,OX,RM,81
2,1000,101739,OX,RM,82
1,10000,59392,OX,RM,82
0,20000,43343,OX,RM,82
2,1000,101706,OX,RM,83
1,10000,58678,OX,RM,83
0,20000,49270,OX,RM,83
2,1000,106368,OX,RM,84
1,10000,60873,OX,RM,84
0,20000,48676,OX,RM,84
2,1000,100334,OX,RM,85
1,10000,57918,OX,RM,85
0,20000,48243,OX,RM,85
2,1000,105069,OX,RM,86
1,10000,55314,OX,RM,86
0,20000,45442,OX,RM,86
2,1000,91335,OX,RM,87
1,10000,52231,OX,RM,87
0,20000,46466,OX,RM,87
2,1000,94918,OX,RM,88
1,10000,49418,OX,RM,88
0,20000,42852,OX,RM,88
2,1000,103452,OX,RM,89
1,10000,55837,OX,RM,89
0,20000,44582,OX,RM,89
2,1000,110316,OX,RM,90
1,10000,61477,OX,RM,90
0,20000,48548,OX,RM,90
2,1000,94931,OX,RM,91
1,10000,60276,OX,RM,91
0,20000,48999,OX,RM,91
2,1000,93709,OX,RM,92
1,10000,61685,OX,RM,92
0,20000,51089,OX,RM,92
2,1000,105174,OX,RM,93
1,10000,56635,OX,RM,93
0,20000,48575,OX,RM,93
2,1000,100301,OX,RM,94
1,10000,60918,OX,RM,94
0,20000,50353,OX,RM,94
2,1000,89289,OX,RM,95
1,10000,57305,OX,RM,95
0,20000,45278,OX,RM,95
2,1000,104493,OX,RM,96
1,10000,51276,OX,RM,96
0,20000,43122,OX,RM,96
2,1000,97959,OX,RM,97
1,10000,58150,OX,RM,97
0,20000,48826,OX,RM,97
2,1000,101493,OX,RM,98
1,10000,58301,OX,RM,98
0,20000,47045,OX,RM,98
2,1000,97341,OX,RM,99
1,10000,60496,OX,RM,99
0,20000,49241,OX,RM,99
