,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,98207,OX,RM,0
1,10000,59837,OX,RM,0
0,20000,49130,OX,RM,0
2,1000,106256,OX,RM,1
1,10000,57081,OX,RM,1
0,20000,46313,OX,RM,1
2,1000,107549,OX,RM,2
1,10000,57328,OX,RM,2
0,20000,45981,OX,RM,2
2,1000,109487,OX,RM,3
1,10000,59460,OX,RM,3
0,20000,51073,OX,RM,3
2,1000,95659,OX,RM,4
1,10000,59165,OX,RM,4
0,20000,48508,OX,RM,4
2,1000,103858,OX,RM,5
1,10000,58405,OX,RM,5
0,20000,47225,OX,RM,5
2,1000,95991,OX,RM,6
1,10000,60622,OX,RM,6
0,20000,47491,OX,RM,6
2,1000,101958,OX,RM,7
1,10000,57290,OX,RM,7
0,20000,47212,OX,RM,7
2,1000,99269,OX,RM,8
1,10000,53752,OX,RM,8
0,20000,46270,OX,RM,8
2,1000,105291,OX,RM,9
1,10000,52261,OX,RM,9
0,20000,45550,OX,RM,9
2,1000,89113,OX,RM,10
1,10000,55448,OX,RM,10
0,20000,49247,OX,RM,10
2,1000,106709,OX,RM,11
1,10000,54325,OX,RM,11
0,20000,44755,OX,RM,11
2,1000,97818,OX,RM,12
1,10000,58655,OX,RM,12
0,20000,49328,OX,RM,12
2,1000,101991,OX,RM,13
1,10000,55268,OX,RM,13
0,20000,45286,OX,RM,13
2,1000,99467,OX,RM,14
1,10000,58144,OX,RM,14
0,20000,47007,OX,RM,14
2,1000,100661,OX,RM,15
1,10000,58710,OX,RM,15
0,20000,48684,OX,RM,15
2,1000,89617,OX,RM,16
1,10000,52199,OX,RM,16
0,20000,43104,OX,RM,16
2,1000,95252,OX,RM,17
1,10000,63018,OX,RM,17
0,20000,50973,OX,RM,17
2,1000,93883,OX,RM,18
1,10000,55381,OX,RM,18
0,20000,44930,OX,RM,18
2,1000,94661,OX,RM,19
1,10000,52049,OX,RM,19
0,20000,46392,OX,RM,19
2,1000,101033,OX,RM,20
1,10000,49437,OX,RM,20
0,20000,42516,OX,RM,20
2,1000,97348,OX,RM,21
1,10000,61213,OX,RM,21
0,20000,48812,OX,RM,21
2,1000,89666,OX,RM,22
1,10000,54597,OX,RM,22
0,20000,44944,OX,RM,22
2,1000,98759,OX,RM,23
1,10000,57243,OX,RM,23
0,20000,46171,OX,RM,23
2,1000,94312,OX,RM,24
1,10000,59588,OX,RM,24
0,20000,50612,OX,RM,24
2,1000,100298,OX,RM,25
1,10000,61070,OX,RM,25
0,20000,48195,OX,RM,25
2,1000,100634,OX,RM,26
1,10000,60885,OX,RM,26
0,20000,48229,OX,RM,26
2,1000,101640,OX,RM,27
1,10000,62650,OX,RM,27
0,20000,51616,OX,RM,27
2,1000,94906,OX,RM,28
1,10000,57074,OX,RM,28
0,20000,46618,OX,RM,28
2,1000,96114,OX,RM,29
1,10000,51629,OX,RM,29
0,20000,41894,OX,RM,29
2,1000,101403,OX,RM,30
1,10000,57264,OX,RM,30
0,20000,48244,OX,RM,30
2,1000,91845,OX,RM,31
1,10000,56530,OX,RM,31
0,20000,48425,OX,RM,31
2,1000,100489,OX,RM,32
1,10000,63682,OX,RM,32
0,20000,51622,OX,RM,32
2,1000,95767,OX,RM,33
1,10000,54700,OX,RM,33
0,20000,44993,OX,RM,33
2,1000,106582,OX,RM,34
1,10000,64648,OX,RM,34
0,20000,56214,OX,RM,34
2,1000,105349,OX,RM,35
1,10000,57060,OX,RM,35
0,20000,45602,OX,RM,35
2,1000,97587,OX,RM,36
1,10000,51812,OX,RM,36
0,20000,45699,OX,RM,36
2,1000,106939,OX,RM,37
1,10000,64169,OX,RM,37
0,20000,50933,OX,RM,37
2,1000,102372,OX,RM,38
1,10000,57322,OX,RM,38
0,20000,45354,OX,RM,38
2,1000,93547,OX,RM,39
1,10000,53715,OX,RM,39
0,20000,41904,OX,RM,39
2,1000,100046,OX,RM,40
1,10000,53300,OX,RM,40
0,20000,44131,OX,RM,40
2,1000,101708,OX,RM,41
1,10000,51212,OX,RM,41
0,20000,39864,OX,RM,41
2,1000,101812,OX,RM,42
1,10000,56401,OX,RM,42
0,20000,50343,OX,RM,42
2,1000,102118,OX,RM,43
1,10000,59260,OX,RM,43
0,20000,51397,OX,RM,43
2,1000,100579,OX,RM,44
1,10000,61587,OX,RM,44
0,20000,48014,OX,RM,44
2,1000,100481,OX,RM,45
1,10000,60498,OX,RM,45
0,20000,48767,OX,RM,45
2,1000,98875,OX,RM,46
1,10000,54509,OX,RM,46
0,20000,47344,OX,RM,46
2,1000,103942,OX,RM,47
1,10000,57025,OX,RM,47
0,20000,48551,OX,RM,47
2,1000,99617,OX,RM,48
1,10000,62066,OX,RM,48
0,20000,47809,OX,RM,48
2,1000,96964,OX,RM,49
1,10000,51860,OX,RM,49
0,20000,46639,OX,RM,49
2,1000,109848,OX,RM,50
1,10000,55115,OX,RM,50
0,20000,51814,OX,RM,50
2,1000,107824,OX,RM,51
1,10000,61642,OX,RM,51
0,20000,51324,OX,RM,51
2,1000,112189,OX,RM,52
1,10000,57172,OX,RM,52
0,20000,52017,OX,RM,52
