,Generation,Best Solution,m,n,k,Iteration
0,20000,26057,3,5,20,24
2,1000,27656,3,5,50,24
1,10000,25792,3,5,50,24
0,20000,25074,3,5,50,24
2,1000,28527,3,8,10,24
1,10000,22880,3,8,10,24
0,20000,21964,3,8,10,24
2,1000,26255,3,8,20,24
1,10000,22916,3,8,20,24
0,20000,21857,3,8,20,24
2,1000,31983,3,8,50,24
1,10000,28544,3,8,50,24
0,20000,27850,3,8,50,24
2,1000,37382,5,3,10,24
1,10000,26363,5,3,10,24
0,20000,24169,5,3,10,24
2,1000,29591,5,3,20,24
1,10000,26105,5,3,20,24
0,20000,24127,5,3,20,24
2,1000,34830,5,3,50,24
1,10000,30027,5,3,50,24
0,20000,27232,5,3,50,24
2,1000,27209,5,5,10,24
1,10000,23083,5,5,10,24
0,20000,22952,5,5,10,24
2,1000,26002,5,5,20,24
1,10000,22436,5,5,20,24
0,20000,22041,5,5,20,24
2,1000,26987,5,5,50,24
1,10000,24779,5,5,50,24
0,20000,24105,5,5,50,24
2,1000,38518,5,8,10,24
1,10000,22806,5,8,10,24
0,20000,22301,5,8,10,24
2,1000,30566,5,8,20,24
1,10000,26051,5,8,20,24
0,20000,25235,5,8,20,24
2,1000,27991,5,8,50,24
1,10000,25972,5,8,50,24
0,20000,24884,5,8,50,24
2,1000,26170,2,3,10,25
1,10000,24269,2,3,10,25
0,20000,23627,2,3,10,25
2,1000,25214,2,3,20,25
1,10000,24173,2,3,20,25
0,20000,23754,2,3,20,25
2,1000,29715,2,3,50,25
1,10000,27050,2,3,50,25
0,20000,26851,2,3,50,25
2,1000,26484,2,5,10,25
1,10000,24331,2,5,10,25
0,20000,23842,2,5,10,25
2,1000,30543,2,5,20,25
1,10000,27421,2,5,20,25
0,20000,25088,2,5,20,25
2,1000,29961,2,5,50,25
1,10000,28798,2,5,50,25
0,20000,25780,2,5,50,25
2,1000,31751,2,8,10,25
1,10000,24125,2,8,10,25
0,20000,22800,2,8,10,25
2,1000,30815,2,8,20,25
1,10000,25940,2,8,20,25
0,20000,23880,2,8,20,25
2,1000,26372,2,8,50,25
1,10000,24014,2,8,50,25
0,20000,23343,2,8,50,25
2,1000,30372,3,3,10,25
1,10000,26507,3,3,10,25
0,20000,26141,3,3,10,25
2,1000,26186,3,3,20,25
1,10000,24852,3,3,20,25
0,20000,24220,3,3,20,25
2,1000,26478,3,3,50,25
1,10000,25869,3,3,50,25
0,20000,25689,3,3,50,25
2,1000,33035,3,5,10,25
1,10000,25910,3,5,10,25
0,20000,23347,3,5,10,25
2,1000,31891,3,5,20,25
1,10000,25629,3,5,20,25
0,20000,24467,3,5,20,25
2,1000,26691,3,5,50,25
1,10000,24738,3,5,50,25
0,20000,24345,3,5,50,25
2,1000,35006,3,8,10,25
1,10000,25664,3,8,10,25
0,20000,23871,3,8,10,25
2,1000,25914,3,8,20,25
1,10000,23683,3,8,20,25
0,20000,22739,3,8,20,25
2,1000,32090,3,8,50,25
1,10000,29249,3,8,50,25
0,20000,27569,3,8,50,25
2,1000,25535,5,3,10,25
1,10000,23213,5,3,10,25
0,20000,22866,5,3,10,25
2,1000,30439,5,3,20,25
1,10000,28536,5,3,20,25
0,20000,26146,5,3,20,25
2,1000,28933,5,3,50,25
1,10000,27297,5,3,50,25
0,20000,25287,5,3,50,25
2,1000,48324,5,5,10,25
1,10000,27918,5,5,10,25
0,20000,24584,5,5,10,25
2,1000,25829,5,5,20,25
1,10000,24060,5,5,20,25
0,20000,22563,5,5,20,25
2,1000,26078,5,5,50,25
1,10000,24642,5,5,50,25
0,20000,23931,5,5,50,25
2,1000,26923,5,8,10,25
1,10000,22657,5,8,10,25
0,20000,22510,5,8,10,25
2,1000,30150,5,8,20,25
1,10000,24326,5,8,20,25
0,20000,22711,5,8,20,25
2,1000,37357,5,8,50,25
1,10000,31870,5,8,50,25
0,20000,27156,5,8,50,25
2,1000,27498,2,3,10,26
1,10000,25514,2,3,10,26
0,20000,25231,2,3,10,26
2,1000,26955,2,3,20,26
1,10000,25995,2,3,20,26
0,20000,25415,2,3,20,26
2,1000,31646,2,3,50,26
1,10000,29303,2,3,50,26
0,20000,27898,2,3,50,26
2,1000,25254,2,5,10,26
1,10000,22881,2,5,10,26
0,20000,22235,2,5,10,26
2,1000,28557,2,5,20,26
1,10000,27286,2,5,20,26
0,20000,25702,2,5,20,26
2,1000,29333,2,5,50,26
1,10000,26924,2,5,50,26
0,20000,26087,2,5,50,26
2,1000,39793,2,8,10,26
1,10000,29301,2,8,10,26
0,20000,27371,2,8,10,26
2,1000,31062,2,8,20,26
1,10000,27387,2,8,20,26
0,20000,27049,2,8,20,26
2,1000,32011,2,8,50,26
1,10000,33595,2,8,50,26
0,20000,29006,2,8,50,26
2,1000,34220,3,3,10,26
1,10000,27575,3,3,10,26
0,20000,24270,3,3,10,26
2,1000,29922,3,3,20,26
1,10000,26971,3,3,20,26
0,20000,26607,3,3,20,26
2,1000,29626,3,3,50,26
1,10000,26721,3,3,50,26
0,20000,25719,3,3,50,26
2,1000,32929,3,5,10,26
1,10000,24912,3,5,10,26
0,20000,23863,3,5,10,26
2,1000,35243,3,5,20,26
1,10000,27728,3,5,20,26
0,20000,25885,3,5,20,26
2,1000,28062,3,5,50,26
1,10000,27295,3,5,50,26
0,20000,26475,3,5,50,26
2,1000,27089,3,8,10,26
1,10000,25876,3,8,10,26
0,20000,24050,3,8,10,26
2,1000,28983,3,8,20,26
1,10000,24243,3,8,20,26
0,20000,23327,3,8,20,26
2,1000,27715,3,8,50,26
1,10000,25863,3,8,50,26
0,20000,25423,3,8,50,26
2,1000,27329,5,3,10,26
1,10000,24354,5,3,10,26
0,20000,23387,5,3,10,26
2,1000,28641,5,3,20,26
1,10000,27114,5,3,20,26
0,20000,25204,5,3,20,26
2,1000,33368,5,3,50,26
1,10000,31173,5,3,50,26
0,20000,28330,5,3,50,26
2,1000,26614,5,5,10,26
1,10000,24412,5,5,10,26
0,20000,23613,5,5,10,26
2,1000,27033,5,5,20,26
1,10000,25847,5,5,20,26
0,20000,25057,5,5,20,26
2,1000,25368,5,5,50,26
1,10000,22871,5,5,50,26
0,20000,22369,5,5,50,26
2,1000,28362,5,8,10,26
1,10000,23507,5,8,10,26
0,20000,23562,5,8,10,26
2,1000,27453,5,8,20,26
1,10000,23452,5,8,20,26
0,20000,23068,5,8,20,26
2,1000,40713,5,8,50,26
1,10000,31351,5,8,50,26
0,20000,28535,5,8,50,26
2,1000,29501,2,3,10,27
1,10000,26518,2,3,10,27
0,20000,25738,2,3,10,27
2,1000,31523,2,3,20,27
1,10000,25637,2,3,20,27
0,20000,25104,2,3,20,27
2,1000,28723,2,3,50,27
1,10000,28257,2,3,50,27
0,20000,27095,2,3,50,27
2,1000,41242,2,5,10,27
1,10000,32872,2,5,10,27
0,20000,29157,2,5,10,27
2,1000,40096,2,5,20,27
1,10000,33900,2,5,20,27
0,20000,30000,2,5,20,27
2,1000,36928,2,5,50,27
1,10000,30788,2,5,50,27
0,20000,29010,2,5,50,27
2,1000,29672,2,8,10,27
1,10000,24180,2,8,10,27
0,20000,22915,2,8,10,27
2,1000,24306,2,8,20,27
1,10000,23379,2,8,20,27
0,20000,23231,2,8,20,27
2,1000,28371,2,8,50,27
1,10000,26571,2,8,50,27
0,20000,25408,2,8,50,27
2,1000,30637,3,3,10,27
1,10000,26188,3,3,10,27
0,20000,24914,3,3,10,27
2,1000,29878,3,3,20,27
1,10000,26453,3,3,20,27
0,20000,25236,3,3,20,27
2,1000,29768,3,3,50,27
1,10000,27718,3,3,50,27
0,20000,26394,3,3,50,27
2,1000,27310,3,5,10,27
1,10000,25352,3,5,10,27
0,20000,22928,3,5,10,27
2,1000,58496,3,5,20,27
1,10000,38316,3,5,20,27
0,20000,27996,3,5,20,27
2,1000,40203,3,5,50,27
1,10000,32191,3,5,50,27
0,20000,29849,3,5,50,27
2,1000,28548,3,8,10,27
1,10000,23463,3,8,10,27
0,20000,22281,3,8,10,27
2,1000,28897,3,8,20,27
1,10000,25932,3,8,20,27
0,20000,24964,3,8,20,27
2,1000,26243,3,8,50,27
1,10000,25709,3,8,50,27
0,20000,24801,3,8,50,27
2,1000,28039,5,3,10,27
1,10000,24520,5,3,10,27
0,20000,23349,5,3,10,27
2,1000,28561,5,3,20,27
1,10000,25013,5,3,20,27
0,20000,24245,5,3,20,27
2,1000,36631,5,3,50,27
1,10000,30790,5,3,50,27
0,20000,28692,5,3,50,27
2,1000,30561,5,5,10,27
1,10000,24022,5,5,10,27
0,20000,22367,5,5,10,27
2,1000,25175,5,5,20,27
1,10000,23891,5,5,20,27
0,20000,23153,5,5,20,27
2,1000,31020,5,5,50,27
1,10000,25633,5,5,50,27
0,20000,25139,5,5,50,27
2,1000,25965,5,8,10,27
1,10000,23854,5,8,10,27
0,20000,23792,5,8,10,27
2,1000,35081,5,8,20,27
1,10000,27441,5,8,20,27
0,20000,23756,5,8,20,27
2,1000,25846,5,8,50,27
1,10000,24574,5,8,50,27
0,20000,24059,5,8,50,27
2,1000,35166,2,3,10,28
1,10000,29009,2,3,10,28
0,20000,26445,2,3,10,28
2,1000,44460,2,3,20,28
1,10000,34600,2,3,20,28
0,20000,29921,2,3,20,28
2,1000,33149,2,3,50,28
1,10000,29109,2,3,50,28
0,20000,27962,2,3,50,28
2,1000,37377,2,5,10,28
1,10000,28619,2,5,10,28
0,20000,25470,2,5,10,28
2,1000,27070,2,5,20,28
1,10000,24187,2,5,20,28
0,20000,23503,2,5,20,28
2,1000,46463,2,5,50,28
1,10000,33703,2,5,50,28
0,20000,31527,2,5,50,28
2,1000,39667,2,8,10,28
1,10000,29634,2,8,10,28
0,20000,26712,2,8,10,28
2,1000,27108,2,8,20,28
1,10000,25467,2,8,20,28
0,20000,24252,2,8,20,28
2,1000,32367,2,8,50,28
1,10000,28686,2,8,50,28
0,20000,27501,2,8,50,28
2,1000,32209,3,3,10,28
1,10000,28980,3,3,10,28
0,20000,26911,3,3,10,28
2,1000,28940,3,3,20,28
1,10000,25928,3,3,20,28
0,20000,25470,3,3,20,28
2,1000,28973,3,3,50,28
1,10000,26229,3,3,50,28
0,20000,25184,3,3,50,28
2,1000,26880,3,5,10,28
1,10000,23237,3,5,10,28
0,20000,22613,3,5,10,28
2,1000,32389,3,5,20,28
1,10000,26086,3,5,20,28
0,20000,24298,3,5,20,28
2,1000,46047,3,5,50,28
1,10000,37694,3,5,50,28
0,20000,32224,3,5,50,28
2,1000,25269,3,8,10,28
1,10000,23529,3,8,10,28
0,20000,22242,3,8,10,28
2,1000,41142,3,8,20,28
1,10000,25992,3,8,20,28
0,20000,25067,3,8,20,28
2,1000,32644,3,8,50,28
1,10000,28884,3,8,50,28
0,20000,27079,3,8,50,28
2,1000,28454,5,3,10,28
1,10000,26228,5,3,10,28
0,20000,24844,5,3,10,28
2,1000,27279,5,3,20,28
1,10000,26106,5,3,20,28
0,20000,25588,5,3,20,28
2,1000,25376,5,3,50,28
1,10000,23895,5,3,50,28
0,20000,23328,5,3,50,28
2,1000,32278,5,5,10,28
1,10000,25169,5,5,10,28
0,20000,23648,5,5,10,28
2,1000,39569,5,5,20,28
1,10000,28897,5,5,20,28
0,20000,25772,5,5,20,28
2,1000,30138,5,5,50,28
1,10000,26780,5,5,50,28
0,20000,25134,5,5,50,28
2,1000,32752,5,8,10,28
1,10000,22847,5,8,10,28
0,20000,22847,5,8,10,28
2,1000,29111,5,8,20,28
1,10000,22469,5,8,20,28
0,20000,21814,5,8,20,28
2,1000,26740,5,8,50,28
1,10000,23745,5,8,50,28
0,20000,23139,5,8,50,28
2,1000,27969,2,3,10,29
1,10000,25961,2,3,10,29
0,20000,25293,2,3,10,29
2,1000,27367,2,3,20,29
1,10000,26782,2,3,20,29
0,20000,24573,2,3,20,29
2,1000,29049,2,3,50,29
1,10000,24818,2,3,50,29
0,20000,24580,2,3,50,29
2,1000,50416,2,5,10,29
1,10000,29820,2,5,10,29
0,20000,25729,2,5,10,29
2,1000,27078,2,5,20,29
1,10000,24036,2,5,20,29
0,20000,22188,2,5,20,29
2,1000,29671,2,5,50,29
1,10000,26356,2,5,50,29
0,20000,25994,2,5,50,29
2,1000,27692,2,8,10,29
1,10000,22784,2,8,10,29
0,20000,21684,2,8,10,29
2,1000,33481,2,8,20,29
1,10000,28341,2,8,20,29
0,20000,25799,2,8,20,29
2,1000,30340,2,8,50,29
1,10000,28176,2,8,50,29
0,20000,26465,2,8,50,29
2,1000,26099,3,3,10,29
1,10000,23740,3,3,10,29
0,20000,22597,3,3,10,29
2,1000,29716,3,3,20,29
1,10000,26601,3,3,20,29
0,20000,25036,3,3,20,29
2,1000,30176,3,3,50,29
1,10000,26638,3,3,50,29
0,20000,25641,3,3,50,29
2,1000,26139,3,5,10,29
1,10000,24505,3,5,10,29
0,20000,24045,3,5,10,29
2,1000,26509,3,5,20,29
1,10000,24177,3,5,20,29
0,20000,23579,3,5,20,29
2,1000,33296,3,5,50,29
1,10000,26389,3,5,50,29
0,20000,24632,3,5,50,29
2,1000,38393,3,8,10,29
1,10000,26556,3,8,10,29
0,20000,25766,3,8,10,29
2,1000,29027,3,8,20,29
1,10000,23499,3,8,20,29
0,20000,23070,3,8,20,29
2,1000,27927,3,8,50,29
1,10000,26977,3,8,50,29
0,20000,24426,3,8,50,29
2,1000,26131,5,3,10,29
1,10000,22895,5,3,10,29
0,20000,22383,5,3,10,29
2,1000,32875,5,3,20,29
1,10000,27091,5,3,20,29
0,20000,25312,5,3,20,29
2,1000,37114,5,3,50,29
1,10000,31364,5,3,50,29
0,20000,27654,5,3,50,29
2,1000,26887,5,5,10,29
1,10000,23256,5,5,10,29
0,20000,22699,5,5,10,29
2,1000,29021,5,5,20,29
1,10000,24328,5,5,20,29
0,20000,23487,5,5,20,29
2,1000,27997,5,5,50,29
1,10000,25365,5,5,50,29
0,20000,23557,5,5,50,29
2,1000,26924,5,8,10,29
1,10000,23995,5,8,10,29
0,20000,22749,5,8,10,29
2,1000,26990,5,8,20,29
1,10000,23067,5,8,20,29
0,20000,22044,5,8,20,29
2,1000,29512,5,8,50,29
1,10000,26926,5,8,50,29
0,20000,25356,5,8,50,29
2,1000,29338,2,3,10,30
1,10000,27456,2,3,10,30
0,20000,25659,2,3,10,30
2,1000,26155,2,3,20,30
1,10000,25015,2,3,20,30
0,20000,23947,2,3,20,30
2,1000,28984,2,3,50,30
1,10000,27425,2,3,50,30
0,20000,25686,2,3,50,30
2,1000,25325,2,5,10,30
1,10000,23893,2,5,10,30
0,20000,23738,2,5,10,30
2,1000,26567,2,5,20,30
1,10000,24419,2,5,20,30
0,20000,22790,2,5,20,30
2,1000,26818,2,5,50,30
1,10000,24457,2,5,50,30
0,20000,23175,2,5,50,30
2,1000,29199,2,8,10,30
1,10000,23913,2,8,10,30
0,20000,22385,2,8,10,30
2,1000,27168,2,8,20,30
1,10000,25023,2,8,20,30
0,20000,23887,2,8,20,30
2,1000,31604,2,8,50,30
1,10000,29496,2,8,50,30
0,20000,27461,2,8,50,30
2,1000,32157,3,3,10,30
1,10000,26403,3,3,10,30
0,20000,24582,3,3,10,30
2,1000,27816,3,3,20,30
1,10000,25921,3,3,20,30
0,20000,23589,3,3,20,30
2,1000,28311,3,3,50,30
1,10000,25666,3,3,50,30
0,20000,25409,3,3,50,30
2,1000,34433,3,5,10,30
1,10000,28798,3,5,10,30
0,20000,25204,3,5,10,30
2,1000,27231,3,5,20,30
1,10000,24527,3,5,20,30
0,20000,23444,3,5,20,30
2,1000,27028,3,5,50,30
1,10000,26305,3,5,50,30
0,20000,23885,3,5,50,30
2,1000,27191,3,8,10,30
1,10000,22930,3,8,10,30
0,20000,22798,3,8,10,30
2,1000,34524,3,8,20,30
1,10000,25651,3,8,20,30
0,20000,23944,3,8,20,30
2,1000,28841,3,8,50,30
1,10000,27429,3,8,50,30
0,20000,26672,3,8,50,30
2,1000,25836,5,3,10,30
1,10000,23984,5,3,10,30
0,20000,22171,5,3,10,30
2,1000,28074,5,3,20,30
1,10000,24915,5,3,20,30
0,20000,23692,5,3,20,30
2,1000,26180,5,3,50,30
1,10000,24871,5,3,50,30
0,20000,23568,5,3,50,30
2,1000,24992,5,5,10,30
1,10000,22439,5,5,10,30
0,20000,22112,5,5,10,30
2,1000,27280,5,5,20,30
1,10000,23291,5,5,20,30
0,20000,22190,5,5,20,30
2,1000,25824,5,5,50,30
1,10000,23950,5,5,50,30
0,20000,22867,5,5,50,30
2,1000,27305,5,8,10,30
1,10000,23114,5,8,10,30
0,20000,21632,5,8,10,30
2,1000,44286,5,8,20,30
1,10000,29158,5,8,20,30
0,20000,23732,5,8,20,30
2,1000,25118,5,8,50,30
1,10000,23243,5,8,50,30
0,20000,23044,5,8,50,30
2,1000,26785,2,3,10,31
1,10000,24816,2,3,10,31
0,20000,24316,2,3,10,31
2,1000,32512,2,3,20,31
1,10000,28749,2,3,20,31
0,20000,27542,2,3,20,31
2,1000,51665,2,3,50,31
1,10000,36398,2,3,50,31
0,20000,32745,2,3,50,31
2,1000,32326,2,5,10,31
1,10000,26942,2,5,10,31
0,20000,25733,2,5,10,31
2,1000,26297,2,5,20,31
1,10000,24369,2,5,20,31
0,20000,23552,2,5,20,31
2,1000,26724,2,5,50,31
1,10000,25025,2,5,50,31
0,20000,24987,2,5,50,31
2,1000,25893,2,8,10,31
1,10000,23402,2,8,10,31
0,20000,22825,2,8,10,31
2,1000,27064,2,8,20,31
1,10000,24860,2,8,20,31
0,20000,24382,2,8,20,31
2,1000,26783,2,8,50,31
1,10000,24139,2,8,50,31
0,20000,23724,2,8,50,31
2,1000,25103,3,3,10,31
1,10000,22560,3,3,10,31
0,20000,22168,3,3,10,31
2,1000,27537,3,3,20,31
1,10000,25761,3,3,20,31
0,20000,24412,3,3,20,31
2,1000,26935,3,3,50,31
1,10000,26661,3,3,50,31
0,20000,25602,3,3,50,31
2,1000,27184,3,5,10,31
1,10000,24636,3,5,10,31
0,20000,23734,3,5,10,31
2,1000,29387,3,5,20,31
1,10000,25405,3,5,20,31
0,20000,24489,3,5,20,31
2,1000,27878,3,5,50,31
1,10000,26995,3,5,50,31
0,20000,25510,3,5,50,31
2,1000,25868,3,8,10,31
1,10000,23259,3,8,10,31
0,20000,22657,3,8,10,31
2,1000,25495,3,8,20,31
1,10000,23491,3,8,20,31
0,20000,22478,3,8,20,31
2,1000,26526,3,8,50,31
1,10000,24264,3,8,50,31
0,20000,23116,3,8,50,31
2,1000,27750,5,3,10,31
1,10000,24399,5,3,10,31
0,20000,23663,5,3,10,31
2,1000,30874,5,3,20,31
1,10000,27297,5,3,20,31
0,20000,26463,5,3,20,31
2,1000,26705,5,3,50,31
1,10000,24913,5,3,50,31
0,20000,23975,5,3,50,31
2,1000,34092,5,5,10,31
1,10000,25213,5,5,10,31
0,20000,23356,5,5,10,31
2,1000,33959,5,5,20,31
1,10000,25387,5,5,20,31
0,20000,24000,5,5,20,31
2,1000,40378,5,5,50,31
1,10000,28389,5,5,50,31
0,20000,25879,5,5,50,31
2,1000,25083,5,8,10,31
1,10000,22470,5,8,10,31
0,20000,22419,5,8,10,31
2,1000,25760,5,8,20,31
1,10000,22821,5,8,20,31
0,20000,22061,5,8,20,31
2,1000,29585,5,8,50,31
1,10000,26674,5,8,50,31
0,20000,25422,5,8,50,31
2,1000,25364,2,3,10,32
1,10000,23998,2,3,10,32
0,20000,23882,2,3,10,32
2,1000,27056,2,3,20,32
1,10000,26684,2,3,20,32
0,20000,26354,2,3,20,32
2,1000,25420,2,3,50,32
1,10000,23816,2,3,50,32
0,20000,23196,2,3,50,32
2,1000,25504,2,5,10,32
1,10000,23659,2,5,10,32
0,20000,22519,2,5,10,32
2,1000,28908,2,5,20,32
1,10000,26472,2,5,20,32
0,20000,25704,2,5,20,32
2,1000,41114,2,5,50,32
1,10000,32980,2,5,50,32
0,20000,30169,2,5,50,32
2,1000,30255,2,8,10,32
1,10000,24925,2,8,10,32
0,20000,23749,2,8,10,32
2,1000,34796,2,8,20,32
1,10000,24967,2,8,20,32
0,20000,23205,2,8,20,32
2,1000,32703,2,8,50,32
1,10000,29737,2,8,50,32
0,20000,26870,2,8,50,32
2,1000,26731,3,3,10,32
1,10000,23523,3,3,10,32
0,20000,22548,3,3,10,32
2,1000,35935,3,3,20,32
1,10000,32020,3,3,20,32
0,20000,26596,3,3,20,32
2,1000,25321,3,3,50,32
1,10000,24446,3,3,50,32
0,20000,23940,3,3,50,32
2,1000,26773,3,5,10,32
1,10000,24555,3,5,10,32
0,20000,23799,3,5,10,32
2,1000,29332,3,5,20,32
1,10000,25159,3,5,20,32
0,20000,23943,3,5,20,32
2,1000,40003,3,5,50,32
1,10000,31716,3,5,50,32
0,20000,27898,3,5,50,32
2,1000,26379,3,8,10,32
1,10000,23528,3,8,10,32
0,20000,22378,3,8,10,32
2,1000,38412,3,8,20,32
1,10000,27061,3,8,20,32
0,20000,25704,3,8,20,32
2,1000,27768,3,8,50,32
1,10000,26861,3,8,50,32
0,20000,26083,3,8,50,32
2,1000,26493,5,3,10,32
1,10000,23445,5,3,10,32
0,20000,22468,5,3,10,32
2,1000,47156,5,3,20,32
1,10000,33401,5,3,20,32
0,20000,27087,5,3,20,32
2,1000,40900,5,3,50,32
1,10000,31837,5,3,50,32
0,20000,28793,5,3,50,32
2,1000,29093,5,5,10,32
1,10000,23791,5,5,10,32
0,20000,22646,5,5,10,32
2,1000,27413,5,5,20,32
1,10000,25791,5,5,20,32
0,20000,24901,5,5,20,32
2,1000,26793,5,5,50,32
1,10000,25674,5,5,50,32
0,20000,25297,5,5,50,32
2,1000,29246,5,8,10,32
1,10000,24994,5,8,10,32
0,20000,23816,5,8,10,32
2,1000,32656,5,8,20,32
1,10000,26560,5,8,20,32
0,20000,24351,5,8,20,32
2,1000,25759,5,8,50,32
1,10000,24127,5,8,50,32
0,20000,23296,5,8,50,32
2,1000,31157,2,3,10,33
1,10000,26468,2,3,10,33
0,20000,24403,2,3,10,33
2,1000,27718,2,3,20,33
1,10000,26277,2,3,20,33
0,20000,25326,2,3,20,33
2,1000,28424,2,3,50,33
1,10000,24300,2,3,50,33
0,20000,24132,2,3,50,33
2,1000,25461,2,5,10,33
1,10000,22513,2,5,10,33
0,20000,21990,2,5,10,33
2,1000,28212,2,5,20,33
1,10000,26838,2,5,20,33
0,20000,24478,2,5,20,33
2,1000,27342,2,5,50,33
1,10000,25893,2,5,50,33
0,20000,25450,2,5,50,33
2,1000,31234,2,8,10,33
1,10000,27595,2,8,10,33
0,20000,24717,2,8,10,33
2,1000,29455,2,8,20,33
1,10000,26238,2,8,20,33
0,20000,25267,2,8,20,33
2,1000,29469,2,8,50,33
1,10000,25877,2,8,50,33
0,20000,24514,2,8,50,33
2,1000,37221,3,3,10,33
1,10000,30827,3,3,10,33
0,20000,27830,3,3,10,33
2,1000,32583,3,3,20,33
1,10000,27678,3,3,20,33
0,20000,25980,3,3,20,33
2,1000,31454,3,3,50,33
1,10000,30364,3,3,50,33
0,20000,29200,3,3,50,33
2,1000,31510,3,5,10,33
1,10000,24690,3,5,10,33
0,20000,23205,3,5,10,33
2,1000,28130,3,5,20,33
1,10000,24697,3,5,20,33
0,20000,24062,3,5,20,33
2,1000,26765,3,5,50,33
1,10000,24674,3,5,50,33
0,20000,23813,3,5,50,33
2,1000,29784,3,8,10,33
1,10000,24475,3,8,10,33
0,20000,22908,3,8,10,33
2,1000,31293,3,8,20,33
1,10000,25166,3,8,20,33
0,20000,23445,3,8,20,33
2,1000,27225,3,8,50,33
1,10000,24956,3,8,50,33
0,20000,24067,3,8,50,33
2,1000,26448,5,3,10,33
1,10000,23305,5,3,10,33
0,20000,22937,5,3,10,33
2,1000,26250,5,3,20,33
1,10000,24260,5,3,20,33
0,20000,23688,5,3,20,33
2,1000,26772,5,3,50,33
1,10000,25578,5,3,50,33
0,20000,23839,5,3,50,33
2,1000,28342,5,5,10,33
1,10000,23248,5,5,10,33
0,20000,22259,5,5,10,33
2,1000,29813,5,5,20,33
1,10000,23979,5,5,20,33
0,20000,23071,5,5,20,33
2,1000,28581,5,5,50,33
1,10000,27085,5,5,50,33
0,20000,26130,5,5,50,33
2,1000,27277,5,8,10,33
1,10000,23109,5,8,10,33
0,20000,22641,5,8,10,33
2,1000,30799,5,8,20,33
1,10000,25644,5,8,20,33
0,20000,23624,5,8,20,33
2,1000,32483,5,8,50,33
1,10000,27926,5,8,50,33
0,20000,26474,5,8,50,33
2,1000,32302,2,3,10,34
1,10000,28129,2,3,10,34
0,20000,26914,2,3,10,34
2,1000,30423,2,3,20,34
1,10000,27736,2,3,20,34
0,20000,26843,2,3,20,34
2,1000,30837,2,3,50,34
1,10000,29206,2,3,50,34
0,20000,27401,2,3,50,34
2,1000,29830,2,5,10,34
1,10000,27609,2,5,10,34
0,20000,23684,2,5,10,34
2,1000,28456,2,5,20,34
1,10000,26214,2,5,20,34
0,20000,25722,2,5,20,34
2,1000,31781,2,5,50,34
1,10000,29886,2,5,50,34
0,20000,28775,2,5,50,34
2,1000,27229,2,8,10,34
1,10000,24241,2,8,10,34
0,20000,23824,2,8,10,34
2,1000,36989,2,8,20,34
1,10000,28176,2,8,20,34
0,20000,24666,2,8,20,34
2,1000,28334,2,8,50,34
1,10000,25298,2,8,50,34
0,20000,24184,2,8,50,34
2,1000,26719,3,3,10,34
1,10000,24025,3,3,10,34
0,20000,23626,3,3,10,34
2,1000,25888,3,3,20,34
1,10000,24530,3,3,20,34
0,20000,23982,3,3,20,34
2,1000,29592,3,3,50,34
1,10000,25267,3,3,50,34
0,20000,24663,3,3,50,34
2,1000,36686,3,5,10,34
1,10000,26914,3,5,10,34
0,20000,23809,3,5,10,34
2,1000,39927,3,5,20,34
1,10000,29498,3,5,20,34
0,20000,26296,3,5,20,34
2,1000,41084,3,5,50,34
1,10000,35488,3,5,50,34
0,20000,31868,3,5,50,34
2,1000,29401,3,8,10,34
1,10000,24138,3,8,10,34
0,20000,23024,3,8,10,34
2,1000,27458,3,8,20,34
1,10000,24229,3,8,20,34
0,20000,23273,3,8,20,34
2,1000,27083,3,8,50,34
1,10000,25826,3,8,50,34
0,20000,24331,3,8,50,34
2,1000,28195,5,3,10,34
1,10000,24676,5,3,10,34
0,20000,22499,5,3,10,34
2,1000,35065,5,3,20,34
1,10000,28267,5,3,20,34
0,20000,24286,5,3,20,34
2,1000,31592,5,3,50,34
1,10000,29222,5,3,50,34
0,20000,28317,5,3,50,34
2,1000,37012,5,5,10,34
1,10000,25364,5,5,10,34
0,20000,22816,5,5,10,34
2,1000,26845,5,5,20,34
1,10000,23252,5,5,20,34
0,20000,22743,5,5,20,34
2,1000,36777,5,5,50,34
1,10000,30820,5,5,50,34
0,20000,27865,5,5,50,34
2,1000,30474,5,8,10,34
1,10000,22973,5,8,10,34
0,20000,22287,5,8,10,34
2,1000,40157,5,8,20,34
1,10000,30283,5,8,20,34
0,20000,28836,5,8,20,34
2,1000,28581,5,8,50,34
1,10000,24995,5,8,50,34
0,20000,23820,5,8,50,34
2,1000,26449,2,3,10,35
1,10000,25924,2,3,10,35
0,20000,24794,2,3,10,35
2,1000,27745,2,3,20,35
1,10000,26858,2,3,20,35
0,20000,26247,2,3,20,35
2,1000,27041,2,3,50,35
1,10000,26127,2,3,50,35
0,20000,24888,2,3,50,35
2,1000,26469,2,5,10,35
1,10000,24493,2,5,10,35
0,20000,23056,2,5,10,35
2,1000,27170,2,5,20,35
1,10000,25506,2,5,20,35
0,20000,24909,2,5,20,35
2,1000,33552,2,5,50,35
1,10000,29992,2,5,50,35
0,20000,28618,2,5,50,35
2,1000,25835,2,8,10,35
1,10000,24441,2,8,10,35
0,20000,24074,2,8,10,35
2,1000,25849,2,8,20,35
1,10000,23858,2,8,20,35
