,Generation,Best Solution,m,n,k,Iteration
0,20000,24229,2,5,10,2
2,1000,30619,2,5,20,2
1,10000,27318,2,5,20,2
0,20000,26390,2,5,20,2
2,1000,36426,2,5,50,2
1,10000,30041,2,5,50,2
0,20000,27169,2,5,50,2
2,1000,35759,2,8,10,2
1,10000,27445,2,8,10,2
0,20000,24989,2,8,10,2
2,1000,33855,2,8,20,2
1,10000,27742,2,8,20,2
0,20000,24835,2,8,20,2
2,1000,32387,2,8,50,2
1,10000,28098,2,8,50,2
0,20000,26510,2,8,50,2
2,1000,39705,3,3,10,2
1,10000,28870,3,3,10,2
0,20000,24046,3,3,10,2
2,1000,41511,3,3,20,2
1,10000,32861,3,3,20,2
0,20000,29179,3,3,20,2
2,1000,38052,3,3,50,2
1,10000,33694,3,3,50,2
0,20000,31036,3,3,50,2
2,1000,32157,3,5,10,2
1,10000,25553,3,5,10,2
0,20000,24034,3,5,10,2
2,1000,31983,3,5,20,2
1,10000,28792,3,5,20,2
0,20000,27155,3,5,20,2
2,1000,29550,3,5,50,2
1,10000,24770,3,5,50,2
0,20000,24267,3,5,50,2
2,1000,29957,3,8,10,2
1,10000,24434,3,8,10,2
0,20000,24324,3,8,10,2
2,1000,28754,3,8,20,2
1,10000,23148,3,8,20,2
0,20000,22321,3,8,20,2
2,1000,26475,3,8,50,2
1,10000,25615,3,8,50,2
0,20000,24399,3,8,50,2
2,1000,28024,5,3,10,2
1,10000,24344,5,3,10,2
0,20000,23664,5,3,10,2
2,1000,28751,5,3,20,2
1,10000,27037,5,3,20,2
0,20000,24774,5,3,20,2
2,1000,26871,5,3,50,2
1,10000,26251,5,3,50,2
0,20000,25691,5,3,50,2
2,1000,29188,5,5,10,2
1,10000,24880,5,5,10,2
0,20000,22837,5,5,10,2
2,1000,25771,5,5,20,2
1,10000,22985,5,5,20,2
0,20000,22223,5,5,20,2
2,1000,26400,5,5,50,2
1,10000,25743,5,5,50,2
0,20000,24911,5,5,50,2
2,1000,36920,5,8,10,2
1,10000,24028,5,8,10,2
0,20000,23423,5,8,10,2
2,1000,25884,5,8,20,2
1,10000,22531,5,8,20,2
0,20000,22060,5,8,20,2
2,1000,25623,5,8,50,2
1,10000,23151,5,8,50,2
0,20000,22080,5,8,50,2
2,1000,32727,2,3,10,3
1,10000,29294,2,3,10,3
0,20000,26799,2,3,10,3
2,1000,30998,2,3,20,3
1,10000,26839,2,3,20,3
0,20000,25516,2,3,20,3
2,1000,30886,2,3,50,3
1,10000,28596,2,3,50,3
0,20000,27139,2,3,50,3
2,1000,33576,2,5,10,3
1,10000,26676,2,5,10,3
0,20000,25680,2,5,10,3
2,1000,31493,2,5,20,3
1,10000,26207,2,5,20,3
0,20000,23799,2,5,20,3
2,1000,41525,2,5,50,3
1,10000,32770,2,5,50,3
0,20000,30781,2,5,50,3
2,1000,37903,2,8,10,3
1,10000,26866,2,8,10,3
0,20000,25470,2,8,10,3
2,1000,36044,2,8,20,3
1,10000,27398,2,8,20,3
0,20000,25516,2,8,20,3
2,1000,43381,2,8,50,3
1,10000,32200,2,8,50,3
0,20000,28646,2,8,50,3
2,1000,30405,3,3,10,3
1,10000,26291,3,3,10,3
0,20000,24518,3,3,10,3
2,1000,28121,3,3,20,3
1,10000,27488,3,3,20,3
0,20000,26175,3,3,20,3
2,1000,31987,3,3,50,3
1,10000,28984,3,3,50,3
0,20000,27610,3,3,50,3
2,1000,38051,3,5,10,3
1,10000,27220,3,5,10,3
0,20000,23953,3,5,10,3
2,1000,29805,3,5,20,3
1,10000,26317,3,5,20,3
0,20000,25300,3,5,20,3
2,1000,29797,3,5,50,3
1,10000,28657,3,5,50,3
0,20000,26743,3,5,50,3
2,1000,27169,3,8,10,3
1,10000,23873,3,8,10,3
0,20000,23668,3,8,10,3
2,1000,26551,3,8,20,3
1,10000,24161,3,8,20,3
0,20000,23345,3,8,20,3
2,1000,25464,3,8,50,3
1,10000,24414,3,8,50,3
0,20000,23640,3,8,50,3
2,1000,27392,5,3,10,3
1,10000,22764,5,3,10,3
0,20000,22584,5,3,10,3
2,1000,26164,5,3,20,3
1,10000,24336,5,3,20,3
0,20000,23459,5,3,20,3
