iteration,best_solution,average_solution
318,25778,26171.66
319,25778,26242.86
320,25502,26237.34
321,25502,26237.34
322,25502,26237.34
323,25502,26237.34
324,25502,26237.34
325,25502,26237.34
326,25502,26237.34
327,25502,26237.34
328,25502,26302.48
329,25502,26387.88
330,25502,26496.04
331,25502,26496.04
332,25502,26566.9
333,25502,26566.9
334,25502,26525.44
335,25502,26525.44
336,25502,26402.76
337,25502,26440.48
338,25502,26508.7
339,25502,26506.24
340,25502,26506.24
341,25502,26506.24
342,25502,26506.24
343,25502,26438.02
344,25502,26329.86
345,25502,26259.0
346,25502,26340.8
347,25502,26335.28
348,25502,26249.88
349,25502,26249.88
350,25502,26249.88
351,25502,26265.54
352,25502,26220.6
353,25502,26220.6
354,25502,26220.6
355,25502,26272.32
356,25502,26272.32
357,25502,26272.32
358,25502,26272.32
359,25502,26272.32
360,25502,26272.32
361,25502,26272.32
362,25502,26272.32
363,25502,26234.6
364,25502,26240.12
365,25502,26240.12
366,25502,26240.12
367,25502,26240.12
368,25502,26240.12
369,25502,26240.12
370,25502,26240.12
371,25502,26240.12
372,25502,26240.12
373,25502,26240.12
374,25502,26240.12
375,25502,26240.12
376,25502,26240.12
377,25502,26240.12
378,25502,26240.12
379,25502,26188.4
380,25502,26188.4
381,25502,26188.4
382,25502,26188.4
383,25502,26188.4
384,25502,26188.4
385,25502,26188.4
386,25502,26188.4
387,25502,26123.26
388,25502,26123.26
389,25502,26123.26
390,25502,26123.26
391,25502,26123.26
392,25502,26123.26
393,25502,26123.26
394,25502,26123.26
395,25502,26156.42
396,25502,26156.42
397,25502,26156.42
398,25502,26156.42
399,25502,26156.42
400,25502,26156.42
401,25502,26156.42
402,25502,26281.8
403,25502,26281.8
404,25502,26200.0
405,25502,26298.32
406,25502,26298.32
407,25502,26252.36
408,25502,26154.04
409,25502,26015.42
410,25502,26015.42
411,25502,26015.42
412,25502,26028.72
413,25502,26031.18
414,25502,26054.1
415,25502,26054.1
416,25502,26054.1
