,Generation,Best Solution,CrossOver,Mutation,Iteration
1,10000,3218,SCX,SM,6
0,20000,3218,SCX,SM,6
2,1000,3041,SCX,RM,6
1,10000,3041,SCX,RM,6
0,20000,3041,SCX,RM,6
2,1000,3342,OX,ISM,7
1,10000,3165,OX,ISM,7
0,20000,3127,OX,ISM,7
2,1000,3253,OX,IVM,7
1,10000,3243,OX,IVM,7
0,20000,3237,OX,IVM,7
2,1000,3253,OX,SM,7
1,10000,3249,OX,SM,7
0,20000,3244,OX,SM,7
2,1000,3697,OX,RM,7
1,10000,3697,OX,RM,7
0,20000,3693,OX,RM,7
2,1000,3134,SCX,ISM,7
1,10000,3128,SCX,ISM,7
0,20000,3134,SCX,ISM,7
2,1000,3134,SCX,IVM,7
1,10000,3094,SCX,IVM,7
0,20000,3082,SCX,IVM,7
2,1000,3134,SCX,SM,7
1,10000,3134,SCX,SM,7
0,20000,3134,SCX,SM,7
2,1000,3179,SCX,RM,7
1,10000,3179,SCX,RM,7
0,20000,3179,SCX,RM,7
2,1000,3073,OX,ISM,8
1,10000,3073,OX,ISM,8
0,20000,3070,OX,ISM,8
2,1000,3073,OX,IVM,8
1,10000,3065,OX,IVM,8
0,20000,3055,OX,IVM,8
2,1000,3385,OX,SM,8
1,10000,3362,OX,SM,8
0,20000,3359,OX,SM,8
2,1000,3609,OX,RM,8
1,10000,3609,OX,RM,8
0,20000,3595,OX,RM,8
2,1000,3082,SCX,ISM,8
1,10000,3082,SCX,ISM,8
0,20000,3082,SCX,ISM,8
2,1000,3139,SCX,IVM,8
1,10000,3139,SCX,IVM,8
0,20000,3139,SCX,IVM,8
2,1000,3084,SCX,SM,8
1,10000,3084,SCX,SM,8
0,20000,3084,SCX,SM,8
2,1000,3091,SCX,RM,8
1,10000,3091,SCX,RM,8
0,20000,3091,SCX,RM,8
2,1000,3621,OX,ISM,9
1,10000,3616,OX,ISM,9
0,20000,3609,OX,ISM,9
2,1000,3689,OX,IVM,9
1,10000,3658,OX,IVM,9
0,20000,3658,OX,IVM,9
2,1000,3764,OX,SM,9
1,10000,3764,OX,SM,9
0,20000,3764,OX,SM,9
2,1000,3211,OX,RM,9
1,10000,3195,OX,RM,9
0,20000,3116,OX,RM,9
2,1000,3259,SCX,ISM,9
1,10000,3259,SCX,ISM,9
0,20000,3259,SCX,ISM,9
2,1000,3269,SCX,IVM,9
1,10000,3269,SCX,IVM,9
0,20000,3269,SCX,IVM,9
2,1000,3259,SCX,SM,9
1,10000,3259,SCX,SM,9
0,20000,3259,SCX,SM,9
2,1000,3215,SCX,RM,9
1,10000,3215,SCX,RM,9
0,20000,3215,SCX,RM,9
2,1000,3238,OX,ISM,10
1,10000,3233,OX,ISM,10
0,20000,3223,OX,ISM,10
2,1000,3563,OX,IVM,10
1,10000,3553,OX,IVM,10
0,20000,3537,OX,IVM,10
2,1000,3866,OX,SM,10
1,10000,3866,OX,SM,10
0,20000,3866,OX,SM,10
2,1000,3231,OX,RM,10
1,10000,3231,OX,RM,10
0,20000,3214,OX,RM,10
2,1000,3099,SCX,ISM,10
1,10000,3099,SCX,ISM,10
0,20000,3099,SCX,ISM,10
2,1000,3099,SCX,IVM,10
1,10000,3099,SCX,IVM,10
0,20000,3075,SCX,IVM,10
2,1000,3099,SCX,SM,10
1,10000,3099,SCX,SM,10
0,20000,3099,SCX,SM,10
2,1000,3098,SCX,RM,10
1,10000,3098,SCX,RM,10
0,20000,3097,SCX,RM,10
2,1000,9636,OX,ISM,11
1,10000,7802,OX,ISM,11
0,20000,7301,OX,ISM,11
2,1000,10690,OX,IVM,11
1,10000,9406,OX,IVM,11
0,20000,8396,OX,IVM,11
2,1000,9103,OX,SM,11
1,10000,7993,OX,SM,11
0,20000,7639,OX,SM,11
2,1000,3669,OX,RM,11
1,10000,3431,OX,RM,11
0,20000,3431,OX,RM,11
2,1000,3151,SCX,ISM,11
1,10000,3151,SCX,ISM,11
0,20000,3151,SCX,ISM,11
2,1000,3151,SCX,IVM,11
1,10000,3149,SCX,IVM,11
0,20000,3144,SCX,IVM,11
2,1000,3151,SCX,SM,11
1,10000,3151,SCX,SM,11
0,20000,3151,SCX,SM,11
2,1000,3183,SCX,RM,11
1,10000,3183,SCX,RM,11
0,20000,3183,SCX,RM,11
2,1000,3236,OX,ISM,12
1,10000,3231,OX,ISM,12
0,20000,3215,OX,ISM,12
2,1000,3155,OX,IVM,12
1,10000,3155,OX,IVM,12
0,20000,3139,OX,IVM,12
2,1000,3155,OX,SM,12
1,10000,3155,OX,SM,12
0,20000,3155,OX,SM,12
2,1000,4005,OX,RM,12
1,10000,4003,OX,RM,12
0,20000,3961,OX,RM,12
2,1000,3078,SCX,ISM,12
1,10000,3078,SCX,ISM,12
0,20000,3078,SCX,ISM,12
2,1000,3166,SCX,IVM,12
1,10000,3166,SCX,IVM,12
0,20000,3166,SCX,IVM,12
2,1000,3157,SCX,SM,12
1,10000,3157,SCX,SM,12
0,20000,3157,SCX,SM,12
2,1000,3106,SCX,RM,12
1,10000,3106,SCX,RM,12
0,20000,3106,SCX,RM,12
2,1000,4187,OX,ISM,13
1,10000,4177,OX,ISM,13
0,20000,4161,OX,ISM,13
2,1000,3390,OX,IVM,13
1,10000,3390,OX,IVM,13
0,20000,3350,OX,IVM,13
2,1000,4722,OX,SM,13
1,10000,4549,OX,SM,13
0,20000,4463,OX,SM,13
2,1000,3088,OX,RM,13
1,10000,3088,OX,RM,13
0,20000,3081,OX,RM,13
2,1000,3159,SCX,ISM,13
1,10000,3159,SCX,ISM,13
0,20000,3159,SCX,ISM,13
2,1000,3024,SCX,IVM,13
1,10000,2986,SCX,IVM,13
0,20000,2986,SCX,IVM,13
2,1000,3051,SCX,SM,13
1,10000,3048,SCX,SM,13
0,20000,3048,SCX,SM,13
2,1000,3055,SCX,RM,13
1,10000,3055,SCX,RM,13
0,20000,3055,SCX,RM,13
2,1000,3285,OX,ISM,14
1,10000,3285,OX,ISM,14
0,20000,3285,OX,ISM,14
